index,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
ETH,0.021107266149821502,6051,0.37859249086901703,0.12487148025954964,0.027724679567123767,0.7398746784438401,0.10228832083401973,2994,0.24966880988738915,2024-03-18T18:19:45.644Z
ETH,0.773503354802523,9046,0.18909896257441305,0.21282993327502475,0.7768189612713128,0.09215341844307479,0.8367701803731284,2980,0.8488209560459319,2024-03-18T18:19:45.644Z
ETH,0.4100146867758976,8858,0.9936694448420345,0.7087612942984263,0.9146978413809375,0.11277905270977584,0.6687606880261077,7101,0.8607601833660681,2024-03-18T18:19:45.644Z
ETH,0.7432874506104672,6385,0.03880775944249648,0.2585860382160272,0.620165924132235,0.7515323295183556,0.16966884852462338,3258,0.9989631807944228,2024-03-18T18:19:45.644Z
ETH,0.09022507024497517,6419,0.9979741928183572,0.024278445685059546,0.4585876948486398,0.24804086655970736,0.6209182538691587,6327,0.43721012067499476,2024-03-18T18:19:45.644Z
ETH,0.08884311224897101,7120,0.004814104072570213,0.25596761284395075,0.2619420307217615,0.5530869435145833,0.2409042060357618,6835,0.2874361103253158,2024-03-18T18:19:45.644Z
ETH,0.8645711753673098,2171,0.12565746288711122,0.25878078174911967,0.41825783673016637,0.787922010103687,0.6678555050738639,7632,0.6625934541336573,2024-03-18T18:19:45.644Z
ETH,0.18364584320932908,7100,0.16239973312215916,0.19071193621642757,0.1507841645957264,0.3645846001433355,0.4538629129469953,9897,0.9745733067740037,2024-03-18T18:19:45.644Z
ETH,0.8135020971350597,2419,0.07558619927053556,0.3019731510384931,0.26285101350659157,0.5822785622805984,0.48361857867717606,9166,0.5825498124029438,2024-03-18T18:19:45.644Z
ETH,0.3764975249412761,2683,0.9639066243777394,0.3675146012025243,0.21422977652478337,0.14519492439630755,0.3668902283828912,405,0.2592016560638053,2024-03-18T18:19:45.644Z
