index,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
BNB,0.8943552175223048,7206,0.05742506041786499,0.13319546954617856,0.11328759121907472,0.8805285535986334,0.19109795079849534,6379,0.019051503050943497,2024-03-18T18:20:13.051Z
BNB,0.06268500044797842,255,0.007239352593889192,0.6437893675505462,0.14637631197849132,0.7841936691968385,0.10903536822623439,7088,0.21966392856728167,2024-03-18T18:20:13.051Z
BNB,0.9641581844407858,7103,0.3926286881451462,0.7500996670329421,0.3308038637806445,0.21382959283940828,0.6372861569818165,3170,0.6817630960327792,2024-03-18T18:20:13.051Z
BNB,0.7600823002463513,5147,0.3599195617539843,0.9006686478113708,0.4725713442525905,0.23654802278623488,0.7401943174363268,1523,0.21402951204571363,2024-03-18T18:20:13.051Z
BNB,0.9279858008262469,9822,0.3267941797556846,0.2294070210250292,0.42258632426826015,0.6545205046904357,0.8221509576981143,1693,0.047983403033100336,2024-03-18T18:20:13.051Z
BNB,0.08396556354212303,5922,0.922416857806984,0.014675554107828725,0.932495237026514,0.9816179378883756,0.5848442913466265,2449,0.9366394601795394,2024-03-18T18:20:13.051Z
BNB,0.3931326732331637,9067,0.0013336599457107745,0.792903439467826,0.7241839709616105,0.3972102506960298,0.5649998543816974,569,0.01474613431619276,2024-03-18T18:20:13.051Z
BNB,0.12553185130211286,432,0.7074577352986493,0.7414830940674488,0.7797776234031126,0.7324852653733631,0.15953437462421904,7617,0.1292277328891822,2024-03-18T18:20:13.052Z
BNB,0.2688244858801354,6092,0.8208997310223738,0.784410656012164,0.8718018260682769,0.5979095688025073,0.805373557706379,9366,0.8210670891419232,2024-03-18T18:20:13.052Z
BNB,0.39722934307217717,1993,0.39527609362315186,0.4353944329897368,0.19442441850534453,0.25141932020577973,0.7049071518344696,2945,0.04781889317517973,2024-03-18T18:20:13.052Z
